Path from 14 to 13: No path, Cost: inf
Path from 14 to 15: No path, Cost: inf
Path from 14 to 16: No path, Cost: inf
Path from 14 to 17: No path, Cost: inf
Path from 14 to 18: 14-18, Cost: 451
Path from 14 to 19: No path, Cost: inf
Path from 14 to 20: No path, Cost: inf
Path from 14 to 21: No path, Cost: inf
Path from 14 to 22: No path, Cost: inf
Path from 14 to 23: 14-23, Cost: 318
Path from 14 to 24: No path, Cost: inf
Path from 15 to 0: No path, Cost: inf
Path from 15 to 1: No path, Cost: inf
Path from 15 to 2: No path, Cost: inf
Path from 15 to 3: No path, Cost: inf
Path from 15 to 4: No path, Cost: inf
Path from 15 to 5: No path, Cost: inf
Path from 15 to 6: No path, Cost: inf
Path from 15 to 7: No path, Cost: inf
Path from 15 to 8: No path, Cost: inf
Path from 15 to 9: No path, Cost: inf
Path from 15 to 10: No path, Cost: inf
Path from 15 to 11: No path, Cost: inf
Path from 15 to 12: No path, Cost: inf
Path from 15 to 13: No path, Cost: inf
Path from 15 to 14: No path, Cost: inf
Path from 15 to 16: No path, Cost: inf
Path from 15 to 17: No path, Cost: inf
Path from 15 to 18: No path, Cost: inf
Path from 15 to 19: No path, Cost: inf
Path from 15 to 20: No path, Cost: inf
Path from 15 to 21: No path, Cost: inf
Path from 15 to 22: No path, Cost: inf
Path from 15 to 23: No path, Cost: inf
Path from 15 to 24: No path, Cost: inf
Path from 16 to 0: No path, Cost: inf
Path from 16 to 1: No path, Cost: inf
Path from 16 to 2: No path, Cost: inf
Path from 16 to 3: No path, Cost: inf
Path from 16 to 4: No path, Cost: inf
Path from 16 to 5: No path, Cost: inf
Path from 16 to 6: No path, Cost: inf
Path from 16 to 7: No path, Cost: inf
Path from 16 to 8: No path, Cost: inf
Path from 16 to 9: No path, Cost: inf
Path from 16 to 10: No path, Cost: inf
Path from 16 to 11: No path, Cost: inf
Path from 16 to 12: No path, Cost: inf
Path from 16 to 13: No path, Cost: inf
Path from 16 to 14: No path, Cost: inf
Path from 16 to 15: No path, Cost: inf
Path from 16 to 17: 16-17, Cost: 287
Path from 16 to 18: No path, Cost: inf
Path from 16 to 19: No path, Cost: inf
Path from 16 to 20: No path, Cost: inf
Path from 16 to 21: No path, Cost: inf
Path from 16 to 22: No path, Cost: inf
Path from 16 to 23: 16-23, Cost: 325
Path from 16 to 24: 16-17-24, Cost: 679
Path from 17 to 0: No path, Cost: inf
Path from 17 to 1: No path, Cost: inf
Path from 17 to 2: No path, Cost: inf
Path from 17 to 3: No path, Cost: inf
Path from 17 to 4: No path, Cost: inf
Path from 17 to 5: No path, Cost: inf
Path from 17 to 6: No path, Cost: inf
Path from 17 to 7: No path, Cost: inf
Path from 17 to 8: No path, Cost: inf
Path from 17 to 9: No path, Cost: inf
Path from 17 to 10: No path, Cost: inf
Path from 17 to 11: No path, Cost: inf
Path from 17 to 12: No path, Cost: inf
Path from 17 to 13: No path, Cost: inf
Path from 17 to 14: No path, Cost: inf
Path from 17 to 15: No path, Cost: inf
Path from 17 to 16: No path, Cost: inf
Path from 17 to 18: No path, Cost: inf
Path from 17 to 19: No path, Cost: inf
Path from 17 to 20: No path, Cost: inf
Path from 17 to 21: No path, Cost: inf
Path from 17 to 22: No path, Cost: inf
Path from 17 to 23: No path, Cost: inf
Path from 17 to 24: 17-24, Cost: 392
Path from 18 to 0: No path, Cost: inf
Path from 18 to 1: No path, Cost: inf
Path from 18 to 2: No path, Cost: inf
Path from 18 to 3: No path, Cost: inf
Path from 18 to 4: No path, Cost: inf
Path from 18 to 5: No path, Cost: inf
Path from 18 to 6: No path, Cost: inf
Path from 18 to 7: No path, Cost: inf
Path from 18 to 8: No path, Cost: inf
Path from 18 to 9: No path, Cost: inf
Path from 18 to 10: No path, Cost: inf
Path from 18 to 11: No path, Cost: inf
Path from 18 to 12: No path, Cost: inf
Path from 18 to 13: No path, Cost: inf
Path from 18 to 14: No path, Cost: inf
Path from 18 to 15: No path, Cost: inf
Path from 18 to 16: No path, Cost: inf
Path from 18 to 17: No path, Cost: inf
Path from 18 to 19: No path, Cost: inf
Path from 18 to 20: No path, Cost: inf
Path from 18 to 21: No path, Cost: inf
Path from 18 to 22: No path, Cost: inf
Path from 18 to 23: No path, Cost: inf
Path from 18 to 24: No path, Cost: inf
Path from 19 to 0: No path, Cost: inf
Path from 19 to 1: No path, Cost: inf
Path from 19 to 2: No path, Cost: inf
Path from 19 to 3: No path, Cost: inf
Path from 19 to 4: No path, Cost: inf
Path from 19 to 5: No path, Cost: inf
Path from 19 to 6: No path, Cost: inf
Path from 19 to 7: No path, Cost: inf
Path from 19 to 8: No path, Cost: inf
Path from 19 to 9: No path, Cost: inf
Path from 19 to 10: No path, Cost: inf
Path from 19 to 11: No path, Cost: inf
Path from 19 to 12: No path, Cost: inf
Path from 19 to 13: No path, Cost: inf
Path from 19 to 14: No path, Cost: inf
Path from 19 to 15: No path, Cost: inf
Path from 19 to 16: No path, Cost: inf
Path from 19 to 17: No path, Cost: inf
Path from 19 to 18: No path, Cost: inf
Path from 19 to 20: No path, Cost: inf
Path from 19 to 21: No path, Cost: inf
Path from 19 to 22: 19-22, Cost: 146
Path from 19 to 23: No path, Cost: inf
Path from 19 to 24: No path, Cost: inf
Path from 20 to 0: No path, Cost: inf
Path from 20 to 1: No path, Cost: inf
Path from 20 to 2: No path, Cost: inf
Path from 20 to 3: No path, Cost: inf
Path from 20 to 4: No path, Cost: inf
Path from 20 to 5: No path, Cost: inf
Path from 20 to 6: No path, Cost: inf
Path from 20 to 7: No path, Cost: inf
Path from 20 to 8: No path, Cost: inf
Path from 20 to 9: No path, Cost: inf
Path from 20 to 10: No path, Cost: inf
Path from 20 to 11: No path, Cost: inf
Path from 20 to 12: No path, Cost: inf
Path from 20 to 13: No path, Cost: inf
Path from 20 to 14: No path, Cost: inf
Path from 20 to 15: No path, Cost: inf
Path from 20 to 16: No path, Cost: inf
Path from 20 to 17: No path, Cost: inf
Path from 20 to 18: No path, Cost: inf
Path from 20 to 19: No path, Cost: inf
Path from 20 to 21: No path, Cost: inf
Path from 20 to 22: No path, Cost: inf
Path from 20 to 23: No path, Cost: inf
Path from 20 to 24: 20-24, Cost: 76
Path from 21 to 0: No path, Cost: inf
Path from 21 to 1: No path, Cost: inf
Path from 21 to 2: No path, Cost: inf
Path from 21 to 3: No path, Cost: inf
Path from 21 to 4: No path, Cost: inf
Path from 21 to 5: No path, Cost: inf
Path from 21 to 6: No path, Cost: inf
Path from 21 to 7: No path, Cost: inf
Path from 21 to 8: No path, Cost: inf
Path from 21 to 9: No path, Cost: inf
Path from 21 to 10: No path, Cost: inf
Path from 21 to 11: No path, Cost: inf
Path from 21 to 12: No path, Cost: inf
Path from 21 to 13: No path, Cost: inf
Path from 21 to 14: No path, Cost: inf
Path from 21 to 15: No path, Cost: inf
Path from 21 to 16: No path, Cost: inf
Path from 21 to 17: No path, Cost: inf
Path from 21 to 18: No path, Cost: inf
Path from 21 to 19: No path, Cost: inf
Path from 21 to 20: No path, Cost: inf
Path from 21 to 22: No path, Cost: inf
Path from 21 to 23: No path, Cost: inf
Path from 21 to 24: No path, Cost: inf
Path from 22 to 0: No path, Cost: inf
Path from 22 to 1: No path, Cost: inf
Path from 22 to 2: No path, Cost: inf
Path from 22 to 3: No path, Cost: inf
Path from 22 to 4: No path, Cost: inf
Path from 22 to 5: No path, Cost: inf
Path from 22 to 6: No path, Cost: inf
Path from 22 to 7: No path, Cost: inf
Path from 22 to 8: No path, Cost: inf
Path from 22 to 9: No path, Cost: inf
Path from 22 to 10: No path, Cost: inf
Path from 22 to 11: No path, Cost: inf
Path from 22 to 12: No path, Cost: inf
Path from 22 to 13: No path, Cost: inf
Path from 22 to 14: No path, Cost: inf
Path from 22 to 15: No path, Cost: inf
Path from 22 to 16: No path, Cost: inf
Path from 22 to 17: No path, Cost: inf
Path from 22 to 18: No path, Cost: inf
Path from 22 to 19: No path, Cost: inf
Path from 22 to 20: No path, Cost: inf
Path from 22 to 21: No path, Cost: inf
Path from 22 to 23: No path, Cost: inf
Path from 22 to 24: No path, Cost: inf
Path from 23 to 0: No path, Cost: inf
Path from 23 to 1: No path, Cost: inf
Path from 23 to 2: No path, Cost: inf
Path from 23 to 3: No path, Cost: inf
Path from 23 to 4: No path, Cost: inf
Path from 23 to 5: No path, Cost: inf
Path from 23 to 6: No path, Cost: inf
Path from 23 to 7: No path, Cost: inf
Path from 23 to 8: No path, Cost: inf
Path from 23 to 9: No path, Cost: inf
Path from 23 to 10: No path, Cost: inf
Path from 23 to 11: No path, Cost: inf
Path from 23 to 12: No path, Cost: inf
Path from 23 to 13: No path, Cost: inf
Path from 23 to 14: No path, Cost: inf
Path from 23 to 15: No path, Cost: inf
Path from 23 to 16: No path, Cost: inf
Path from 23 to 17: No path, Cost: inf
Path from 23 to 18: No path, Cost: inf
Path from 23 to 19: No path, Cost: inf
Path from 23 to 20: No path, Cost: inf
Path from 23 to 21: No path, Cost: inf
Path from 23 to 22: No path, Cost: inf
Path from 23 to 24: No path, Cost: inf
Path from 24 to 0: No path, Cost: inf
Path from 24 to 1: No path, Cost: inf
Path from 24 to 2: No path, Cost: inf
Path from 24 to 3: No path, Cost: inf
Path from 24 to 4: No path, Cost: inf
Path from 24 to 5: No path, Cost: inf
Path from 24 to 6: No path, Cost: inf
Path from 24 to 7: No path, Cost: inf
Path from 24 to 8: No path, Cost: inf
Path from 24 to 9: No path, Cost: inf
Path from 24 to 10: No path, Cost: inf
Path from 24 to 11: No path, Cost: inf
Path from 24 to 12: No path, Cost: inf
Path from 24 to 13: No path, Cost: inf
Path from 24 to 14: No path, Cost: inf
Path from 24 to 15: No path, Cost: inf
Path from 24 to 16: No path, Cost: inf
Path from 24 to 17: No path, Cost: inf
Path from 24 to 18: No path, Cost: inf
Path from 24 to 19: No path, Cost: inf
Path from 24 to 20: No path, Cost: inf
Path from 24 to 21: No path, Cost: inf
Path from 24 to 22: No path, Cost: inf
Path from 24 to 23: No path, Cost: inf

